Deutsch ;Wylie Transkripton;Tibetisch;Klassik;Modern;Höflichkeitsform
Gesundheit, die;sku gzugs;སྐུ་གཟུགས།;;;
genannt;zer;ཟེར།;;;
genannt;zhu;ཞུ།;;;
gemütlich;bde po;བདེ་པོ།;;;
gerade;grabs;གྲབས།;;;
glücklich;skyid po;སྐྱིད་པོ།;;;
glücklich;spro po;སྤྱོ་པོ།;;;
groß;chen po;ཆེན་པོ།;;;
gut;yag po;ཡག་པོ།;;;
günstig;gong chung chung;གོང་ཆུང་ཆུང།;;;
halb;phyed ka;ཕྱེད་ཀ།;;;
hauptsächlich;spyir btang;;;;
Haus, das;khang pa;ཁང་པ།;;;
Haus, das;gzim khang;གཟིམ་ཁང།;;;
hässlich;mdog nyes po;མདོག་ཉེས་པོ།;;;
heben;bkyag;བཀྱག།;;;
Heimat, die;pha yul;ཕ་ཡུལ།;;;
heiraten;chang sa rgyag;ཆང་ས་རྒྱག།;;;
heiraten;chang sa skyon;ཆང་ས་སྐྱོན།;;;
heiß;tsha po;ཚ་པོ།;;;
herb;kha tig;ཁ་ཏིག།;;;
heute;de ring;དེ་རིང།;;;
Helfer, der;rogs pa ;རོགས་པ།;;;
helfen;rogs byed;རོགས་བྱེད།;;;
hier;a'dir;འདིར།;;;
hier;a'di la;འདི་ལ།;;;
Hilfe, die;rogs;རོགས།;;;
Himmel, der;gnam;གནམ།;;;
hinlegen, sich;nyal;ཉལ།;;;
hoher;mtho po;;;;
hoch;yar;ཡར།;;;
Hochzeit, die;chang sa ;ཆང་ས།;;;
hören;kho;ཁོ།;;;
Hund, der;khyi;ཁྱི།;;;
hungrig;ltogs;ལྟོགས།;;;
ich;nga;ང།;;;
im Begriff sein etwas zu tun;grabs;གྲབས།;;;
Indien;rgya dkar;རྒྱ་དཀར།;;;
Inder, der;rgya dkar ba;རྒྱ་དཀར་བ།;;;
Inder, der;rgya dkar ra;རྒྱ་དཀར་ར།;;;
in;nang;ནང།;;;
innen;nang;ནང།;;;
Jahr, das;lo;ལོ།;;;
Jahr, dieses;da lo;ད་ལོ།;;;
Jahr, letztes;lja nyin;ལྯ་ཉིན།;;;
Japan;nyi hong;ཉི་ཧོང།;;;
Japan;ri pen;རི་པེན།;;;
jedes;re re;རེ་རེ།;;;
jetzt;da lta;ད་ལྟ།;;;
jiao;m'o tse;མའོ་ཙེ།;;;
Joghurt, der;zho;ཞོ།;;;
Junge, der;bu;བུ།;;;
jüngerer Bruder, der;o'ga ma bu;འོག་མ་བུ།;;;
jüngere Schwester, die;o'ga ma bu mo;འོག་མ་བུ་མོ།;;;
Kalender, der;lo tho;ལོ་ཐོ།;;;
Kalender, der;leb tho;ལེབ་ཐོ།;;;
kalkulieren;rcis;;;;
kalt;grang mo;གྲང་མོ།;;;
Kanne, traditionelle;mdong mo;;;;
kaufen;nyo;ཉོ།;;;
kaufen;gzigs;གཟིགས།;;;
Kartoffel, die;zhog gog;ཞོག་གོག།;;;
Katze, die;zhi mi;ཞི་མི།;;;
Kavallerie, das;rta ba;;;;
kennen;shes;ཤེས།;;;
Kilo, das ein einhalbe;rgya ma khang;རྒྱ་མ་ཁང།;;;
Kilo, das;rgya ma;རྒྱ་མ།;;;
Kind, das;phyu gu;ཕྱུ་གུ།;;;
Kind, das;spu gu;སྤུ་གུ།;;;
kommen;bchar;བཅར།;;;
kommen;phebs;ཕེབས།;;;
kommen ;yong;ཡོང།;;;
kompliziert;khag po;ཁག་པོ།;;;
Konsonant, der;gsal byed;གསལ་བྱེད།;;;
Kopf, der;mgo bo;མག་བོ།;;;
Kopf, der;dbu;དབུ།;;;
Körper, der;gzugs po;གཟུགས་པོ།;;;
Körper, der;sku gzugs;སྐུ་གཟུགས།;;;
köstlich;zhim po;ཞིམ་པོ།;;;
krank, sein;na;ན།;;;
krank, sein;snyung;སྙུང།;;;
Krankenhaus, das;sman khang;སྨན་ཁང།;;;
landen;a'bab;འབབ།;;;
lästig;rnyog dra tsha po;རྙོག་དྲ་ཚ་པོ།;;;
leihen;gyar;གཡར།;;;
Lektion,die;slob tshan;སློབ་ཚན།;;;
Lehrbuch, das;slob deb;སློབ་དེབ།;;;
Lehrer/in, der/die;dge rgan;དགེ་རྒན།;;;
lernen;sbyong;སློབ་སྦྱོང།, སྦྱོང།;;;
lesen;klog;ཀློག།;;;
machen, etwas;bzo;བཟོ།;;;
Mädchen, das;bu mo;བུ་མོ།;;;
manche;kha shas;ཁ་ཤས།;;;
Magen, der;grod khog;གྲོག་ཁོག།;;;
mal;thengs;ཐེངས།;;;
Markt, der;khrom ;ཁྲོམ།;;;
mein;nga'i;ངའི།;;;
Milch, die;o'ma;འོ་མ།;;;
Minute, die;skar ma;སྐར་མ།;;;
Mittag, der;nyin dgung ;ཉིན་དགུང།;;;
Mittwoch, der;gza'a lhag pa;གཟའ་ལྷག་པ།;;;
Morgen, morgiger Tag;sang nyin;སང་ཉིན།;;;
Morgen, am;zhogs pa;ཞོགས་པ།;;;
Mond, der;zla ba;ཟླ་བ།;;;
Monat, der;zla ba;ཟླ་བ།;;;
Montag, der;gza'a zla ba;གཟའ་ཟླ་བ།;;;
Mönch, der;gwra pa;;;;
mögen;dga'po;དགའ་པོ།;;;
Mund, der;kha;ཁ།;;;
Mutter, die;a ma ;ཨ་མ་;;;
Mutter, die;yum;ཡུམ།;;;
nach, zeitlich;yol nas;ཡོལ་ནས།;;;
Nachmittag;dgong dag;དགོང་དག།;;;
nachmittags;dgong dag;དགོང་དག།;;;
Nadel, die;khab;ཁབ།;;;
nah;tsa la;;;;
nah, örtlich;thag nye po;ཐག་ཉེ་པོ།;;;
Name, der;ming;མིང།;;;
Name, der;mtshen;མཚན།;;;
Nationalität, die;mi rigs;མི་རིགས།;;;
neben;a'khris la;འཁྲིས་ལ།;;;
neu;gsar pa;གསར་པ།;;;
Nonne, die;an ni;ཨ་ནི།;;;
normalerweise;tag par;ཏག་པར།;;;
